cnt_date,feature,hitcount
2022-03-31,WLS_WATER_LICENCED_WRK_LINE_SP,140181
2022-04-02,WLS_WATER_LICENCED_WRK_LINE_SP,140188
2022-04-03,WLS_WATER_LICENCED_WRK_LINE_SP,140188
2022-04-04,WLS_WATER_LICENCED_WRK_LINE_SP,140188
2022-04-05,WLS_WATER_LICENCED_WRK_LINE_SP,140211
2022-04-06,WLS_WATER_LICENCED_WRK_LINE_SP,140211
2022-04-07,WLS_WATER_LICENCED_WRK_LINE_SP,140211
2022-04-08,WLS_WATER_LICENCED_WRK_LINE_SP,140212
2022-04-09,WLS_WATER_LICENCED_WRK_LINE_SP,140214
2022-04-10,WLS_WATER_LICENCED_WRK_LINE_SP,140214
2022-04-11,WLS_WATER_LICENCED_WRK_LINE_SP,140214
2022-04-12,WLS_WATER_LICENCED_WRK_LINE_SP,140221
2022-04-13,WLS_WATER_LICENCED_WRK_LINE_SP,140225
2022-04-14,WLS_WATER_LICENCED_WRK_LINE_SP,140225
2022-04-15,WLS_WATER_LICENCED_WRK_LINE_SP,140226
2022-04-16,WLS_WATER_LICENCED_WRK_LINE_SP,140226
2022-04-17,WLS_WATER_LICENCED_WRK_LINE_SP,140226
2022-04-18,WLS_WATER_LICENCED_WRK_LINE_SP,140226
2022-04-19,WLS_WATER_LICENCED_WRK_LINE_SP,140226
2022-04-20,WLS_WATER_LICENCED_WRK_LINE_SP,140236
2022-04-21,WLS_WATER_LICENCED_WRK_LINE_SP,140254
2022-04-22,WLS_WATER_LICENCED_WRK_LINE_SP,140284
2022-04-23,WLS_WATER_LICENCED_WRK_LINE_SP,140290
2022-04-24,WLS_WATER_LICENCED_WRK_LINE_SP,140290
2022-04-25,WLS_WATER_LICENCED_WRK_LINE_SP,140290
2022-04-26,WLS_WATER_LICENCED_WRK_LINE_SP,140287
2022-04-27,WLS_WATER_LICENCED_WRK_LINE_SP,140293
2022-04-28,WLS_WATER_LICENCED_WRK_LINE_SP,140293
2022-04-29,WLS_WATER_LICENCED_WRK_LINE_SP,140293
2022-04-30,WLS_WATER_LICENCED_WRK_LINE_SP,140294
2022-05-01,WLS_WATER_LICENCED_WRK_LINE_SP,140294
2022-05-02,WLS_WATER_LICENCED_WRK_LINE_SP,140294
2022-05-03,WLS_WATER_LICENCED_WRK_LINE_SP,140294
2022-05-04,WLS_WATER_LICENCED_WRK_LINE_SP,140391
2022-05-05,WLS_WATER_LICENCED_WRK_LINE_SP,140406
2022-05-10,WLS_WATER_LICENCED_WRK_LINE_SP,140405
2022-05-11,WLS_WATER_LICENCED_WRK_LINE_SP,140405
2022-05-12,WLS_WATER_LICENCED_WRK_LINE_SP,140408
2022-05-13,WLS_WATER_LICENCED_WRK_LINE_SP,140404
2022-05-14,WLS_WATER_LICENCED_WRK_LINE_SP,140407
2022-05-15,WLS_WATER_LICENCED_WRK_LINE_SP,140407
2022-05-16,WLS_WATER_LICENCED_WRK_LINE_SP,140407
2022-05-17,WLS_WATER_LICENCED_WRK_LINE_SP,140413
2022-05-18,WLS_WATER_LICENCED_WRK_LINE_SP,140414
2022-05-19,WLS_WATER_LICENCED_WRK_LINE_SP,140420
2022-05-20,WLS_WATER_LICENCED_WRK_LINE_SP,140422
2022-05-21,WLS_WATER_LICENCED_WRK_LINE_SP,140426
2022-05-22,WLS_WATER_LICENCED_WRK_LINE_SP,140426
2022-05-23,WLS_WATER_LICENCED_WRK_LINE_SP,140426
2022-05-24,WLS_WATER_LICENCED_WRK_LINE_SP,140426
2022-05-25,WLS_WATER_LICENCED_WRK_LINE_SP,140427
2022-05-26,WLS_WATER_LICENCED_WRK_LINE_SP,140431
2022-05-27,WLS_WATER_LICENCED_WRK_LINE_SP,140436
2022-05-28,WLS_WATER_LICENCED_WRK_LINE_SP,140443
2022-05-29,WLS_WATER_LICENCED_WRK_LINE_SP,140443
2022-05-30,WLS_WATER_LICENCED_WRK_LINE_SP,140443
2022-05-31,WLS_WATER_LICENCED_WRK_LINE_SP,140443
2022-06-01,WLS_WATER_LICENCED_WRK_LINE_SP,140444
2022-06-02,WLS_WATER_LICENCED_WRK_LINE_SP,140452
2022-06-03,WLS_WATER_LICENCED_WRK_LINE_SP,140464
2022-06-04,WLS_WATER_LICENCED_WRK_LINE_SP,140467
2022-06-05,WLS_WATER_LICENCED_WRK_LINE_SP,140467
2022-06-06,WLS_WATER_LICENCED_WRK_LINE_SP,140467
2022-06-07,WLS_WATER_LICENCED_WRK_LINE_SP,140475
2022-06-08,WLS_WATER_LICENCED_WRK_LINE_SP,140475
2022-06-09,WLS_WATER_LICENCED_WRK_LINE_SP,140475
2022-06-10,WLS_WATER_LICENCED_WRK_LINE_SP,140475
2022-06-11,WLS_WATER_LICENCED_WRK_LINE_SP,140480
2022-06-12,WLS_WATER_LICENCED_WRK_LINE_SP,140480
2022-06-13,WLS_WATER_LICENCED_WRK_LINE_SP,140480
2022-06-14,WLS_WATER_LICENCED_WRK_LINE_SP,140481
2022-06-15,WLS_WATER_LICENCED_WRK_LINE_SP,140482
2022-06-16,WLS_WATER_LICENCED_WRK_LINE_SP,140494
2022-06-17,WLS_WATER_LICENCED_WRK_LINE_SP,140502
2022-06-18,WLS_WATER_LICENCED_WRK_LINE_SP,140505
2022-06-19,WLS_WATER_LICENCED_WRK_LINE_SP,140505
2022-06-20,WLS_WATER_LICENCED_WRK_LINE_SP,140505
2022-06-21,WLS_WATER_LICENCED_WRK_LINE_SP,140505
2022-06-22,WLS_WATER_LICENCED_WRK_LINE_SP,140505
2022-06-23,WLS_WATER_LICENCED_WRK_LINE_SP,140507
2022-06-24,WLS_WATER_LICENCED_WRK_LINE_SP,140507
2022-06-25,WLS_WATER_LICENCED_WRK_LINE_SP,140504
2022-06-26,WLS_WATER_LICENCED_WRK_LINE_SP,140504
2022-06-27,WLS_WATER_LICENCED_WRK_LINE_SP,140504
2022-06-28,WLS_WATER_LICENCED_WRK_LINE_SP,140504
2022-06-29,WLS_WATER_LICENCED_WRK_LINE_SP,140506
2022-06-30,WLS_WATER_LICENCED_WRK_LINE_SP,140509
2022-07-01,WLS_WATER_LICENCED_WRK_LINE_SP,140509
2022-07-02,WLS_WATER_LICENCED_WRK_LINE_SP,140509
2022-07-03,WLS_WATER_LICENCED_WRK_LINE_SP,140509
2022-07-04,WLS_WATER_LICENCED_WRK_LINE_SP,140509
2022-07-05,WLS_WATER_LICENCED_WRK_LINE_SP,140509
2022-07-06,WLS_WATER_LICENCED_WRK_LINE_SP,140511
2022-07-07,WLS_WATER_LICENCED_WRK_LINE_SP,140547
2022-07-08,WLS_WATER_LICENCED_WRK_LINE_SP,140622
2022-07-09,WLS_WATER_LICENCED_WRK_LINE_SP,140622
2022-07-10,WLS_WATER_LICENCED_WRK_LINE_SP,140622
